DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
2805.989,113.399,76.867,0.693,4.619,2.455,0.283,7
2806.141,112.673,77.507,0.709,4.649,2.458,0.282,7
2806.294,109.081,78.07,0.686,4.718,2.455,0.284,7
2806.446,106.319,77.177,0.717,4.797,2.456,0.261,7
2806.598,106.104,74.965,0.779,4.879,2.465,0.26,7
2806.751,105.537,70.76,0.926,4.912,2.484,0.259,7
2806.903,105.079,69.996,0.916,4.883,2.492,0.271,7
2807.056,105.165,69.671,0.821,4.825,2.486,0.264,7
2807.208,109.011,68.455,0.785,4.813,2.468,0.255,7
2807.36,110.638,69.896,0.81,4.822,2.456,0.251,7
2807.513,110.844,72.181,0.756,4.827,2.446,0.271,7
2807.665,111.008,76.058,0.681,4.783,2.443,0.272,7
2807.818,108.536,73.273,0.661,4.714,2.447,0.276,7
2807.97,107.697,72.716,0.707,4.688,2.458,0.279,7
2808.122,104.364,69.081,0.81,4.779,2.467,0.25,7
2808.275,101.168,65.373,0.882,4.992,2.48,0.246,7
2808.427,100.145,60.704,0.984,5.217,2.504,0.224,7
2808.58,99.626,55.855,1.09,5.332,2.534,0.209,7
2808.732,98.925,58.16,1.125,5.297,2.545,0.206,7
2808.884,99.365,60.456,1.028,5.179,2.534,0.216,7
2809.037,105.72,62.468,0.931,5.073,2.513,0.226,7
2809.189,106.586,62.134,0.868,4.988,2.503,0.227,7
2809.342,107.445,64.69,0.899,4.93,2.503,0.224,7
2809.494,107.381,67.783,0.898,4.893,2.499,0.244,7
2809.646,107.415,71.043,0.828,4.921,2.487,0.26,7
2809.799,107.125,71.692,0.782,5.01,2.472,0.271,7
2809.951,107.697,73.223,0.762,5.176,2.467,0.268,7
2810.104,109.415,72.754,0.8,5.39,2.475,0.263,7
2810.256,109.274,70.763,0.844,5.526,2.499,0.247,7
2810.408,109.307,66.102,0.811,5.479,2.512,0.25,7
2810.561,109.211,66.769,0.739,5.258,2.501,0.258,7
2810.713,109.564,67.451,0.751,5.035,2.476,0.269,7
2810.866,108.728,70.27,0.809,4.922,2.461,0.263,7
2811.018,107.504,71.69,0.809,4.914,2.462,0.277,7
2811.17,106.288,70.889,0.777,4.937,2.461,0.282,7
2811.323,106.858,66.965,0.86,4.964,2.462,0.259,7
2811.475,106.805,64.552,0.929,5.003,2.471,0.25,7
2811.628,105.052,66.729,0.871,5.075,2.481,0.247,7
2811.78,105.512,68.272,0.811,5.157,2.481,0.247,7
2811.932,106.345,68.053,0.956,5.164,2.484,0.238,7
2812.085,105.8,68.443,0.943,5.093,2.49,0.234,7
2812.237,104.751,67.379,0.864,5.061,2.5,0.254,7
2812.39,105.523,67.573,0.898,5.199,2.52,0.252,7
2812.542,106.434,70.01,0.933,5.458,2.552,0.257,7
2812.694,107.379,72.662,0.855,5.564,2.588,0.263,7
2812.847,108.139,73.141,0.757,5.438,2.564,0.273,7
2812.999,109.217,70.747,0.795,5.132,2.514,0.283,7
2813.152,110.665,71.843,0.805,4.88,2.463,0.286,7
2813.304,111.111,75.308,0.69,4.735,2.449,0.288,7
2813.456,113.169,74.118,0.645,4.663,2.446,0.298,7
2813.609,114.115,72.609,0.674,4.596,2.444,0.279,7
2813.761,113.805,73.196,0.705,4.521,2.444,0.285,7
2813.914,112.79,74.988,0.695,4.461,2.445,0.275,7
2814.066,112.294,72.416,0.752,4.448,2.444,0.251,7
2814.218,109.112,70.366,0.794,4.477,2.445,0.23,7
2814.371,106.984,65.203,0.848,4.506,2.448,0.222,7
2814.523,105.632,63.294,0.933,4.501,2.452,0.221,7
2814.676,105.467,63.474,1.021,4.461,2.458,0.231,7
2814.828,105.141,64.522,0.944,4.471,2.451,0.257,7
2814.98,104.554,64.805,0.776,4.507,2.444,0.255,7
2815.133,101.941,60.462,0.82,4.548,2.447,0.223,7
2815.285,99.908,58.476,0.962,4.591,2.473,0.205,7
2815.438,98.312,56.096,1.125,4.681,2.503,0.191,7
2815.59,98.015,58.041,1.106,4.772,2.519,0.202,7
2815.742,100.475,57.969,0.995,4.773,2.51,0.213,7
2815.895,100.167,57.422,0.933,4.689,2.489,0.213,7
2816.047,101.628,57.632,0.978,4.62,2.472,0.213,7
2816.2,104.272,58.082,0.976,4.633,2.465,0.222,7
2816.352,106.121,59.073,0.914,4.655,2.466,0.242,7
2816.504,105.802,60.736,0.838,4.664,2.462,0.245,7
2816.657,104.479,62.28,0.828,4.646,2.463,0.24,7
2816.809,103.354,59.84,0.868,4.682,2.468,0.221,7
2816.962,101.632,56.896,0.946,4.784,2.475,0.21,7
2817.114,99.964,56.39,0.981,4.905,2.483,0.205,7
2817.266,102.187,59.887,1.007,4.984,2.485,0.207,7
2817.419,102.326,62.597,0.991,4.945,2.488,0.214,7
2817.571,104.134,60.657,0.971,4.837,2.484,0.218,7
2817.724,105.338,61.15,0.873,4.712,2.478,0.224,7
2817.876,105.725,61.66,0.804,4.664,2.471,0.223,7
2818.028,105.449,63.938,0.871,4.683,2.471,0.225,7
2818.181,104.872,65.25,0.946,4.777,2.468,0.228,7
2818.333,102.901,64.151,0.96,4.88,2.462,0.236,7
2818.486,103.514,61.254,0.906,4.957,2.455,0.252,7
2818.638,105.276,62.625,0.916,4.954,2.456,0.248,7
2818.79,105.044,63.045,0.907,4.893,2.462,0.244,7
2818.943,101.235,63.068,0.871,4.79,2.472,0.245,7
2819.095,99.715,59.32,0.855,4.715,2.479,0.227,7
2819.248,97.88,56.252,0.929,4.648,2.492,0.208,7
2819.4,97.288,55.044,1.187,4.589,2.505,0.198,7
2819.552,97.22,54.859,1.272,4.53,2.511,0.202,7
2819.705,96,57.578,1.111,4.482,2.5,0.213,7
2819.857,97.582,63.614,1.026,4.41,2.482,0.223,7
